id,title,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6dGnYIeXmHdcikdzNNDMm2,Here Comes The Sun - Remastered 2009,The Beatles,0.557,0.54,9,-10.484,1,0.0339,0.00248,0.179,0.394,129.171,185733,4
5y788ya4NvwhBznoDIcXwK,The Sound of Silence - Acoustic Version,Simon & Garfunkel,0.525,0.216,6,-13.551,1,0.837,0.0,0.107,0.328,106.761,185413,4
3l3xTXsUXeWlkPqzMs7mPD,End Of The Road,Boyz II Men,0.64,0.427,5,-9.29,0,0.0664,0.0,0.0579,0.529,149.703,351467,3
2DnJjbjNTV9Nd5NOa1KGba,You're so Vain,Carly Simon,0.659,0.678,0,-8.18,1,0.157,6.69e-06,0.0784,0.647,106.186,258411,4
6ztstiyZL6FXzh4aG46ZPD,Boogie Wonderland,The Emotions,0.802,0.756,2,-10.791,0,0.0843,0.00765,0.0521,0.963,131.715,288293,4
4u7EnebtmKWzUH433cf5Qv,Bohemian Rhapsody - Remastered 2011,Queen,0.414,0.404,0,-9.928,0,0.271,0.0,0.3,0.224,71.105,354320,4
7e89621JPkKaeDSTQ3avtg,Sweet Home Alabama,Lynyrd Skynyrd,0.596,0.605,7,-12.145,1,0.181,0.000331,0.0863,0.886,97.798,283800,4
70C4NyhjD5OZUMzvWZ3njJ,Piano Man,Billy Joel,0.331,0.55,0,-6.483,1,0.605,3.96e-06,0.192,0.429,177.734,339000,3
1HOMkjp0nHMaTnfAkslCQj,My Sharona,The Knack,0.586,0.7,0,-9.558,1,0.0589,0.00125,0.0318,0.897,147.245,295400,4
5QTxFnGygVM4jFQiBovmRo,(Don't Fear) The Reaper,Blue Öyster Cult,0.333,0.927,9,-8.55,0,0.0029,0.000208,0.297,0.385,141.466,308120,4
5uuJruktM9fMdN9Va0DUMl,Play That Funky Music,Wild Cherry,0.814,0.672,9,-12.068,1,0.0435,0.0,0.061,0.933,109.394,300000,4
3ClOMebBxeNTYCOfTH24YJ,Le Freak - 2018 Remaster,CHIC,0.91,0.641,7,-11.316,1,0.0258,6.42e-05,0.0642,0.903,118.533,331360,4
2M2WJ7gBlcKNxdhyfPp9zY,Best of My Love,The Emotions,0.784,0.713,0,-6.865,1,0.447,0.14,0.0904,0.97,115.443,220560,4
3EYOJ48Et32uATr9ZmLnAo,Roxanne,The Police,0.618,0.748,0,-8.905,1,0.0384,4.1e-06,0.0473,0.663,134.114,191947,4
1hQFF33xi8ruavZNyovtUN,"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,0.737,0.495,1,-13.489,1,0.0588,9.12e-06,0.0542,0.967,104.409,197147,4
1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,Bill Withers,0.527,0.415,4,-11.451,0,0.457,1.72e-05,0.117,0.515,78.169,125093,4
4nXkbcTj3nyww1cHkw5RAP,Long Train Runnin',The Doobie Brothers,0.575,0.912,7,-7.275,0,0.0916,0.00211,0.0562,0.843,117.399,207267,4
3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,0.601,0.532,10,-9.119,1,0.432,6.25e-06,0.0925,0.341,136.571,281613,4
2RlgNHKcydI9sayD2Df2xp,Mr. Blue Sky,Electric Light Orchestra,0.388,0.338,10,-10.054,1,0.652,3.73e-06,0.248,0.478,177.765,303373,4
40NRm1ZLvZpUSCUXAGGZ8J,Kung Fu Fighting,Carl Douglas,0.598,0.673,2,-10.431,1,0.0422,6.9e-05,0.289,0.59,102.034,197693,4
6mHOcVtsHLMuesJkswc0GZ,The Logical Song - Remastered 2010,Supertramp,0.625,0.758,5,-6.213,0,0.512,0.00022,0.153,0.695,119.719,251253,4
1JQ6Xm1JrvHfvAqhl5pwaA,Easy,Commodores,0.589,0.384,10,-15.075,0,0.112,2.8e-05,0.0596,0.354,132.909,256427,4
7pKfPomDEeI4TPT6EOYjn9,Imagine - Remastered 2010,John Lennon,0.547,0.257,0,-12.358,1,0.907,0.183,0.0935,0.169,75.752,187867,4
1GcVa4jFySlun4jLSuMhiq,Angie,The Rolling Stones,0.429,0.554,9,-6.128,0,0.67,0.000152,0.105,0.407,136.302,272000,4
7JFoeg0arawADjGcz9gBnq,I Don't Like Mondays,The Boomtown Rats,0.464,0.46,11,-6.874,1,0.717,0.0,0.151,0.476,143.603,259093,4
5moTxUGPZXgGmosl4rIELm,Anarchy In The UK,Sex Pistols,0.359,0.949,0,-7.649,1,0.0556,0.000396,0.236,0.212,134.118,212480,4
6A9mKXlFRPMPem6ygQSt7z,Three Little Birds,Bob Marley & The Wailers,0.814,0.482,9,-10.493,1,0.0111,1.57e-06,0.0476,0.615,148.404,180267,4
0qdQUeKVyevrbKhAo0ibxS,My Sweet Lord - Remastered 2014,George Harrison,0.537,0.701,1,-8.913,0,0.0972,0.0,0.0832,0.583,120.919,281227,4
3jDNListAzNuR5DNpbjXoA,Tiger Feet,Mud,0.528,0.914,11,-7.233,1,0.0991,0.0,0.468,0.745,93.33,230413,4
4hLk7Bjz1XJWNDiqovvgBW,Sylvia's Mother,Dr. Hook,0.303,0.47,9,-12.715,1,0.692,0.0,0.339,0.563,168.104,228333,4
5p3JunprHCxClJjOmcLV8G,Walk On the Wild Side,Lou Reed,0.575,0.318,0,-16.729,1,0.683,0.000202,0.0934,0.385,104.522,254173,4
0rwmxAht1fk7QuSiCmIhGV,I Will Survive - Single Version,Gloria Gaynor,0.801,0.623,9,-13.445,0,0.0173,0.00811,0.323,0.641,116.426,198600,4
0LoQuiekvzqx7n8flgEKzF,Get It On,T. Rex,0.728,0.878,11,-6.926,0,0.176,0.856,0.61,0.911,126.59,262613,4
34b3a3Pz9Jlz0092LMyNAB,What's Going On,Marvin Gaye,0.265,0.824,1,-5.654,0,0.0991,0.0,0.359,0.811,203.206,232600,4
1jzDzZWeSDBg5fhNc3tczV,Paranoid,Black Sabbath,0.429,0.631,4,-11.514,0,7.85e-05,0.00411,0.175,0.376,162.734,168440,4
0KMGxYKeUzK9wc5DZCt3HT,If You Leave Me Now,Chicago,0.434,0.563,11,-6.784,1,0.0197,0.000824,0.128,0.275,104.183,235373,4
0p57RyGtnyrije5NAY1WHV,Hold Me Close,David Essex,0.598,0.631,11,-6.369,1,0.628,0.0,0.394,0.727,128.116,232693,4
1SkrET3bTwnFzQW4hvEeNK,Can't Give You Anything (But My Love),The Stylistics,0.524,0.809,7,-7.556,0,0.431,5.17e-05,0.581,0.552,112.821,194667,4
4J0DbyODwZJcmIAiTSJfMF,Annie's Song,John Denver,0.304,0.305,2,-10.879,1,0.871,0.00368,0.367,0.464,146.066,180693,3
02srSkeu2pzybuVr2B9TJm,When Will I See You Again,The Three Degrees,0.564,0.593,9,-9.245,1,0.732,0.00366,0.343,0.766,120.753,178747,4
1WZ7nC1GSk8rCF3X4cRiOv,Sugar Baby Love,The Rubettes,0.424,0.728,0,-7.79,1,0.000126,0.314,0.209,0.756,130.583,208693,4
7wZWDNOH1rVgyfZIDutBTB,Welcome Home,Peters & Lee,0.496,0.411,5,-13.304,1,0.0872,1.19e-05,0.46,0.645,123.67,211720,4
12UzVR0M7asW2MHAZRJk0I,Tie a Yellow Ribbon Round the Ole Oak Tree (feat. Tony Orlando) - 1998 Remastered,Tony Orlando,0.559,0.615,5,-12.27,1,0.283,0.0,0.0957,0.68,87.601,206253,4
2p3KKkfBDsUddb4KwXZO59,Cum On Feel The Noize,Slade,0.408,0.83,7,-7.932,1,0.000327,0.58,0.131,0.674,137.778,262973,4
5Z8EDau8uNcP1E8JvmfkZe,School's Out,Alice Cooper,0.294,0.745,5,-9.138,1,0.05,0.125,0.676,0.347,134.364,210107,4
6MrILERJLA3Jcq0E9poZsp,Without You,Harry Nilsson,0.381,0.186,4,-15.477,1,0.613,2.75e-06,0.0694,0.142,65.058,201000,4
5VqlXuFTkOx5OouaqsLyLw,Ernie (The Fastest Milkman in the West),Benny Hill,0.493,0.665,7,-10.922,1,0.675,0.0,0.253,0.738,105.376,231960,5
3RNyGLgSvmVRZ7xKUp8Wgd,In the Summertime,Mungo Jerry,0.642,0.65,4,-8.567,1,0.66,0.0,0.14,0.973,164.421,215800,4
4VnzKUBMB6cvog8Jvv1few,Yellow River,Christie,0.627,0.544,4,-11.436,1,0.0859,0.0,0.152,0.877,129.851,165960,4
6l8EbYRtQMgKOyc1gcDHF9,Bridge Over Troubled Water,Simon & Garfunkel,0.149,0.206,3,-13.888,1,0.822,0.000649,0.115,0.264,79.764,293120,4
0Y2SrByf4G3kbq2nBEHQRn,Spirit in the Sky,Norman Greenbaum,0.601,0.643,2,-5.828,1,0.112,0.00209,0.088,0.552,128.262,239600,4
2SVJxQfczkbkslAZgkZf9N,I'm Still Waiting,Diana Ross,0.357,0.608,0,-9.643,0,0.398,0.0,0.195,0.538,83.356,224187,4
0VYhyWRfiiJQ5WRm3EOczU,I'd Like To Teach The World To Sing (In Perfect Harmony),The New Seekers,0.507,0.478,11,-10.726,1,0.712,0.0,0.182,0.885,134.603,142533,4
6cg3CWWHTui9KAew9dHIjT,See My Baby Jive - 2006 Remaster,Wizzard,0.359,0.945,9,-5.176,1,0.178,1.54e-05,0.344,0.518,137.372,302333,4
5HQEmiV2lKnSO6qa2fsR7x,I'm Not In Love,10cc,0.404,0.523,4,-15.7,1,0.685,0.000498,0.282,0.164,133.738,366640,4
51tLuq7szffePQka877QiN,I Love to Love (But My Baby Loves to Dance),Tina Charles,0.666,0.623,4,-10.662,1,0.00413,0.00046,0.0443,0.853,100.003,186133,4
2YwiE0KVhqwIiT4OfT0SFk,When I Need You,Leo Sayer,0.617,0.335,1,-8.114,1,0.385,2.37e-05,0.126,0.115,109.577,255040,3
0i38ukkDaXt4bCP0osIbz0,Float On,The Floaters,0.609,0.665,7,-9.866,1,0.285,1.59e-06,0.0519,0.874,96.98,250120,4
0aOkjSqYLGDljwtUNvAnoS,Silver Lady,David Soul,0.715,0.494,11,-12.807,1,0.36,9.22e-05,0.0736,0.768,111.268,224427,4
2LScqpywMqGcnum6nNaxXX,"Yes Sir, I Can Boogie",Baccara,0.454,0.769,2,-7.653,1,0.127,3.23e-06,0.175,0.491,122.531,273867,4
34zWZOSpU2V1ab0PiZCcv4,Uptown Top Ranking - Remastered 2001,Althea And Donna,0.886,0.522,7,-7.971,1,0.0477,0.00108,0.207,0.79,82.439,229160,4
3kmYIHIOqxRXa66KyXHTvh,Y.M.C.A.,Village People,0.671,0.956,6,-4.623,1,0.191,0.0,0.517,0.681,126.558,226427,4
3Jy0dWV5AnnfyTvHK6UWof,Bright Eyes,Art Garfunkel,0.38,0.21,7,-15.603,1,0.745,0.45,0.0829,0.207,112.51,238600,4
7GK2KVYH8FrTC9zehmjVMd,Ring My Bell,Anita Ward,0.781,0.556,5,-13.067,0,0.0661,0.0907,0.0339,0.968,125.999,491933,4
7o7E1nrHWncYY7PY94gCiX,Video Killed The Radio Star,The Buggles,0.68,0.678,1,-11.548,1,0.103,0.00828,0.204,0.251,131.165,252773,4
37Tmv4NnfQeb0ZgUC4fOJj,Sultans Of Swing,Dire Straits,0.733,0.794,5,-10.023,1,0.0614,0.0367,0.33,0.931,148.174,348624,4
54eZmuggBFJbV7k248bTTt,A Horse with No Name,George Martin,0.654,0.506,11,-17.18,0,0.686,0.0155,0.155,0.831,123.179,252240,4
4aVuWgvD0X63hcOCnZtNFA,Hold the Line,TOTO,0.473,0.898,6,-4.797,0,0.00783,0.0618,0.173,0.808,96.556,235547,4
4areksgU8Nn6bf0kIAY8q0,Some Girls,Racey,0.728,0.844,4,-4.664,0,0.62,4.91e-05,0.0467,0.928,91.3,207480,4
4l9VeOgjTRo6i8sE847ib3,Love Really Hurts Without You,Billy Ocean,0.561,0.889,4,-4.154,0,0.0761,7.42e-06,0.143,0.856,137.758,184880,4
0HOrDVS349XFcpCYsO2hAP,You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,0.475,0.439,11,-15.039,0,0.000146,0.000277,0.223,0.76,118.392,234867,4
1rdEDyNqQb7AsG193Q58Fl,Love Me For A Reason,The Osmonds,0.617,0.586,9,-5.449,1,0.841,0.000264,0.331,0.801,143.089,243813,4
316haK20RCKR5rVlAslpnL,Stand and Deliver,Adam & The Ants,0.533,0.942,6,-8.729,0,0.00149,0.0,0.251,0.691,142.728,189867,4
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,0.573,0.902,6,-7.638,0,0.018,0.00125,0.0928,0.876,84.412,225280,4
5XcZRgJv3zMhTqCyESjQrF,Poison,Alice Cooper,0.28,0.908,2,-5.509,0,0.0327,8.85e-06,0.18,0.26,118.698,270080,4
6XHNIbru8xGohLzHNgxQvF,Forever Young - 2019 Remaster,Alphaville,0.483,0.471,9,-9.711,0,0.397,0.000336,0.331,0.291,137.012,226000,4
4VmmNHz5nigftA0B3GR0M5,Japanese Boy,Aneka,0.704,0.789,2,-4.909,1,0.026,0.169,0.144,0.534,120.587,237989,4
7Di7t9yGoxdZRLAt5a4pi0,Manic Monday,The Bangles,0.685,0.571,2,-11.623,1,0.335,2.38e-06,0.214,0.869,121.737,184173,4
37Q5anxoGWYdRsyeXkkNoI,Heaven Is A Place On Earth,Belinda Carlisle,0.64,0.852,1,-8.119,0,0.0243,1.82e-06,0.0497,0.793,122.902,246520,4
15MJ5NThPjj6xhPcts8MiY,"Take My Breath Away - Love Theme from ""Top Gun""",Berlin,0.497,0.719,6,-9.397,1,0.0613,0.0,0.411,0.547,95.769,255733,4
0bvpSvOYt4KTfZIZJmyFOs,White Wedding,Billy Idol,0.677,0.62,9,-11.766,1,0.0335,0.0529,0.285,0.672,146.74,506227,4
5zA8vzDGqPl2AzZkEYQGKh,Uptown Girl,Billy Joel,0.701,0.944,4,-2.986,1,0.0755,0.0,0.601,0.792,128.993,197707,4
5UU5FbITNm5OunvHQdsKME,"When the Going Gets Tough, The Tough Get Going",Billy Ocean,0.755,0.763,4,-6.318,1,0.405,0.0,0.318,0.932,122.045,248000,4
3pgainA2dH9c7e8JVYGRCN,Ride on Time,Black Box,0.648,0.858,9,-6.58,0,0.00128,0.556,0.0535,0.62,119.031,272147,4
37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,Bon Jovi,0.532,0.887,0,-3.757,1,0.0778,0.000214,0.294,0.795,122.511,249293,4
5Hyr47BBGpvOfcykSCcaw9,"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,0.616,0.685,9,-15.289,0,0.0245,1.13e-05,0.0491,0.895,150.055,348333,4
5vmRQ3zELMLUQPo2FLQ76x,Smalltown Boy,Bronski Beat,0.685,0.584,5,-10.616,0,0.288,0.00918,0.124,0.939,134.546,302413,4
7FwBtcecmlpc1sLySPXeGE,Dancing In the Dark,Bruce Springsteen,0.527,0.942,1,-5.64,0,0.0115,0.0,0.188,0.495,148.723,241307,4
2lFFiNm0XtgJ6wkdncTB4k,Drive - 2017 Remaster,The Cars,0.261,0.703,6,-7.871,1,0.115,0.00078,0.102,0.405,83.495,234332,4
0ire4j2mcGovF5JA1D2cTp,Don't Leave Me This Way (with Sarah Jane Morris),Sarah Jane Morris,0.64,0.926,3,-5.597,1,0.135,2.04e-06,0.134,0.901,131.997,271067,4
4ByEFOBuLXpCqvO1kw8Wdm,(I Just) Died In Your Arms,Cutting Crew,0.625,0.726,11,-11.402,0,0.0158,0.000169,0.0625,0.507,124.945,280400,4
4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,Cyndi Lauper,0.71,0.799,6,-4.897,1,0.22,0.000602,0.349,0.725,120.372,238267,4
6G3afsR0udhKnAU0Tut25j,Mary's Prayer,Danny Wilson,0.682,0.571,0,-13.139,1,0.235,0.0,0.116,0.657,135.109,234467,4
7j74lucZ59vqN67Ipe2ZcY,Maneater,Daryl Hall & John Oates,0.724,0.498,11,-13.083,0,0.0405,8.56e-05,0.0761,0.823,88.825,273173,4
41dDygR3r7e926oGUXfrLt,I Can't Go for That (No Can Do),Daryl Hall & John Oates,0.889,0.441,0,-9.506,0,0.0405,0.000788,0.038,0.963,110.565,307307,4
3gxEZXUjrNbl3TlSrTGbR5,Modern Love - 2018 Remaster,David Bowie,0.358,0.938,0,-5.577,1,0.00375,9.2e-06,0.117,0.944,182.836,288339,4
7uHO4AmKtyGa5v5fsElGoC,You Spin Me Round (Like a Record),Dead Or Alive,0.567,0.943,6,-7.992,0,0.0312,0.0965,0.544,0.965,128.207,199667,4
6QG0wcgoCsa9pqFyTg0rRO,Whip It,DEVO,0.768,0.716,2,-12.922,1,0.0658,0.00213,0.0379,0.961,157.935,158107,4
4w3tQBXhn5345eUXDGBWZG,9 to 5,Dolly Parton,0.554,0.783,6,-5.852,1,0.416,1.54e-06,0.631,0.813,105.39,162467,4
4gvea7UlDkAvsJBPZAd4oB,The Boys Of Summer,Don Henley,0.516,0.549,6,-13.741,1,0.501,0.00572,0.184,0.907,176.941,288733,4
1jDJFeK9x3OZboIAHsY9k2,I'm Still Standing,Elton John,0.504,0.904,6,-6.863,1,0.356,0.121,0.14,0.772,176.808,183440,4
4bQNusmmVudLxIiexglzh6,Orinoco Flow - 2009 Remaster,Enya,0.692,0.466,0,-10.741,1,0.743,0.109,0.1,0.561,114.999,266200,4
3pVj1Dpgf45D4yCG7w8f6M,The Final Countdown,Europe,0.525,0.807,6,-9.298,0,0.054,0.000575,0.178,0.3,117.589,239573,4
1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,Dave Stewart,0.692,0.711,0,-7.498,0,0.225,0.0,0.12,0.875,125.135,216933,4
3a7MoHJhyrq6RkToMqwghf,(Feels Like) Heaven,Fiction Factory,0.522,0.923,0,-4.744,0,0.142,0.0222,0.0687,0.682,116.595,213360,4
4d6eqRtpDX7tydHJGDZUBQ,She Drives Me Crazy,Fine Young Cannibals,0.799,0.687,2,-5.682,1,0.193,0.000188,0.0307,0.965,108.804,215773,4
1JLn8RhQzHz3qDqsChcmBl,I Want to Know What Love Is - 1999 Remaster,Foreigner,0.477,0.471,6,-10.036,1,0.193,1.76e-06,0.131,0.423,81.204,304787,4
3MIVb9pn5cDSdK7yNDsMU1,"Relax - 7"" Mix",Frankie Goes To Hollywood,0.683,0.875,4,-6.916,0,0.204,1.9e-06,0.0631,0.674,115.401,236160,4
5WDLRQ3VCdVrKw0njWe5E5,Careless Whisper,George Michael,0.575,0.643,2,-8.854,0,0.136,1.65e-06,0.249,0.789,152.854,300107,4
5lEmNTmbmYRukxzepQgrrh,Under Your Thumb,Godley & Creme,0.466,0.612,5,-13.835,1,0.596,0.00159,0.35,0.497,170.828,226840,4
7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,Guns N' Roses,0.454,0.91,6,-7.766,1,0.0866,0.0996,0.116,0.629,125.116,354520,4
54b8qPFqYqIndfdxiLApea,Alone,Heart,0.418,0.452,1,-13.099,1,0.638,0.00026,0.0959,0.168,175.088,218733,4
