isrc,title,artist
SEUM71100962,LEVELS,AVICII
GB2DY2200137,HOLD IT DOWN,DIGGA D
USAT22104773,SANTA CAN'T YOU HEAR ME,KELLY CLARKSON & ARIANA GRANDE
GB5KW2205553,FOOD AID,LADBABY
USUM72019170,LONELY,JUSTIN BIEBER & BENNY BLANCO
USAT21802011,SWEET BUT PSYCHO,AVA MAX
USWV22127495,SURFACE PRESSURE,JESSICA DARROW
USAT21704622,THIS IS ME,SETTLE/GREATEST SHOWMAN ENS
GB2DY2200008,PUMP 101,DIGGA D/STILL BRICKIN'
UKFBX1800008,ADVICE,CADET & DENO DRIZ
QMRSZ2002383,REALLY LOVE,KSI/CRAIG DAVID/DIGITAL FARM
USUG12103662,RED (TAYLOR'S VERSION),TAYLOR SWIFT
SE5R71900201,SOS,AVICII FT ALOE BLACC
GBAHT2000782,ALL YOU'RE DREAMING OF,LIAM GALLAGHER
GBARL2201128,POTION,CALVIN HARRIS/DUA LIPA/YOUNG
UKWLG2200055,I'M GOOD (BLUE),DAVID GUETTA & BEBE REXHA
CAN112300498,LABOUR,PARIS PALOMA
GB2DY2200739,MAN IN THE MIRROR,D-BLOCK EUROPE
USUM71912330,GOODBYES,POST MALONE FT YOUNG THUG
USAT21812712,GOING BAD,MEEK MILL FT DRAKE
GB1101901014,HELL N BACK,BAKAR
USUM72100008,LO VAS A OLVIDAR,BILLIE EILISH & ROSALIA
GBARL1701655,LEAVE A LIGHT ON,TOM WALKER
USSM10905172,CHRISTMAS (BABY PLEASE COME HOME),DARLENE LOVE
USUM71900764,BAD GUY,BILLIE EILISH
GB2DY2000563,UFO,D-BLOCK EUROPE FT AITCH
USUG12106683,HOW DO I MAKE YOU LOVE ME,WEEKND
USSM11912587,WATERMELON SUGAR,HARRY STYLES
USUG11904007,HEARTLESS,WEEKND
GBAHS2300175,EYES CLOSED,ED SHEERAN
ZZOPM2003512,LOADING,CENTRAL CEE
GBCEN1900019,WISH YOU WELL,SIGALA & BECKY HILL
GBUM71804645,AY CARAMBA,LIZZY/FREDO/YOUNG T & BUGSEY
USWB11902199,PROFESSOR X,DAVE
USSM12109778,HOUSE ON FIRE,MIMI WEBB
GB2DY2000044,MICE,AITCH
USRC12204591,SNOOZE,SZA
GBUM72108841,WHERE DID YOU GO,JAX JONES FT MNEK
USUG11802132,MONA LISA,LIL WAYNE FT KENDRICK LAMAR
GBARL1800368,ONE KISS,CALVIN HARRIS & DUA LIPA
GBBBM8500013,MERRY CHRISTMAS EVERYONE,SHAKIN' STEVENS
GBAHS2100002,LET'S GO HOME TOGETHER,ELLA HENDERSON & TOM GRENNAN
GBUV71900031,DON'T FEEL LIKE CRYING,SIGRID
USUG12002935,ONE TOO MANY,KEITH URBAN & PINK
USAT21813049,NIGHTS LIKE THIS,KEHLANI FT TY DOLLA SIGN
GBUM72002531,DIAMONDS,SAM SMITH
UYB282301031,BZRP MUSIC SESSIONS - VOL 53,BIZARRAP & SHAKIRA
USSM12101148,GOOD WITHOUT,MIMI WEBB
GB1102000319,BREAK UP SONG,LITTLE MIX
QZFPL2100101,DO IT TO IT,ACRAZE FT CHERISH
USSM12006586,WITHOUT YOU,KID LAROI
USRV82101200,BIG ENERGY,LATTO/MARIAH CAREY/DJ KHALED
USSM11903948,PANINI,LIL NAS X
USUMV2101644,TRAITOR,OLIVIA RODRIGO
GBUM72207184,ROCKET SCIENCE,CLAVISH FT D-BLOCK EUROPE
US39N2300484,22,JAYO
GBUM71902013,I'M THE ONE,MOSTACK & FREDO
USWB11902978,LOYAL,PARTYNEXTDOOR FT DRAKE
NLF711710457,BODY,LOUD LUXURY FT BRANDO
GBUM71900576,BLACK,DAVE
USUM71813499,WITHOUT ME,HALSEY
USUM72208035,I LIKE YOU (A HAPPIER SONG),POST MALONE FT DOJA CAT
USUM71917221,PLAYING GAMES,SUMMER WALKER
GBMMW2200431,F**K THE TORIES,K**TS
USSM11912590,FALLING,HARRY STYLES
GBCEL2200513,I AIN'T QUITE WHERE I THINK I AM,ARCTIC MONKEYS
USUM71819190,COZY LITTLE CHRISTMAS,KATY PERRY
QZES71982312,DANCE MONKEY,TONES & I
USWB11800211,LOOK ALIVE,BLOCBOY JB FT DRAKE
GBHMU1900031,BOUNCE BACK,LITTLE MIX
USAT22208037,VICTORIA'S SECRET,JAX
USSM11905818,LIAR,CAMILA CABELLO
USRC11703646,LOVE LIES,KHALID & NORMANI
USUM72120470,ONE RIGHT NOW,POST MALONE & WEEKND
UK8E21907403,WEEKENDS,FREYA RIDINGS
GBAHS2201000,TURN ON THE LIGHTS AGAIN,FRED AGAIN/SWEDISH HOUSE MAFIA
QMJMT2103635,M Y . L I F E,J COLE/21 SAVAGE/MORRAY
GB1102101248,SOUTHGATE YOU'RE THE ONE (FOOTBALL'S,ATOMIC KITTEN
GB2DY2000353,PLAIN JANE,D-BLOCK EUROPE
GBUM72103449,LET THEM KNOW,MABEL
USSM11914250,HAPPY CHRISTMAS (WAR IS OVER),JOHN LEGEND
USUM72001715,BLUEBERRY FAYGO,LIL MOSEY
USUG12203745,KISS ME,DERMOT KENNEDY
QZK6P2113983,MAKE ME FEEL GOOD,BELTERS ONLY FT JAZZY
GBAHS2101236,BEG FOR YOU,CHARLI XCX FT RINA SAWAYAMA
QZTB42247362,CHRISTMAS DRILLINGS,SIDEMEN
GBCTA1300103,UNDERNEATH THE TREE,KELLY CLARKSON
GB1102200038,PACKS AND POTIONS,HAZEY
USWB11802264,ARMS AROUND YOU,XXXTENTACION/PUMP/MALUMA/SWAE
USRC12103605,I HATE U,SZA
USUM72215261,SUPER FREAKY GIRL,NICKI MINAJ
GBUM71800437,MAD LOVE,SEAN PAUL/GUETTA/BECKY G
USAT22103652,ABCDEFU,GAYLE
GBUM71900578,LOCATION,DAVE FT BURNA BOY
USAT21900569,SO AM I,AVA MAX
SE6XG2100101,I STILL HAVE FAITH IN YOU,ABBA
GB1301901348,LONELY,JOEL CORRY
GBUM71900985,KEISHA & BECKY,RUSS & TION WAYNE
UKQNW2100011,LITTLE MORE LOVE,AJ TRACEY
GB1302000411,I DUNNO,TION WAYNE/DUTCHAVELLI/STORMZY
QM6P41894589,OPTIONS,NSG FT TION WAYNE
USUV71803308,WITHOUT ME,HALSEY
DEZC62269331,MISS YOU,SOUTHSTAR
USRC11803517,SATURDAY NIGHTS,KHALID
USCM51800139,BARBIE DREAMS,NICKI MINAJ
QMEU31819472,STOOPID,6IX9INE FT BOBBY SHMURDA
USUG11900515,SUCKER,JONAS BROTHERS
USUG11601011,DIE FOR YOU,WEEKND
USUM71822626,WOW.,POST MALONE
USUM72000806,THOSE KINDA NIGHTS,EMINEM FT ED SHEERAN
USLD91743605,WE CAA DONE,POPCAAN FT DRAKE
USAT21812918,SWERVIN,A BOOGIE WIT DA HOODIE/6IX9INE
GB1101900104,THINK ABOUT US,LITTLE MIX FT TY DOLLA SIGN
GBARL2001440,LOVE NOT WAR (THE TAMPA BEAT),JASON DERULO & NUKA
USLD91714410,I'M UPSET,DRAKE
USAT22007153,LIFE GOES ON,OLIVER TREE
USWB11801760,GOODBYE,DERULO/GUETTA/MINAJ/WILLIAM
USRC12100608,ALL I KNOW SO FAR,PINK
USUM72105934,YOUR POWER,BILLIE EILISH
GBAHS1901183,WILEY FLOW,STORMZY
GBUM72102399,TITANIUM,DAVE
QMDA62217995,ESCAPISM,RAYE FT 070 SHAKE
GBKPL1933763,I'M SO TIRED,LAUV & TROYE SIVAN
USRC12003364,PRISONER,MILEY CYRUS FT DUA LIPA
QMJMT2103619,I N T E R L U D E,J COLE
QM6MZ2156864,BUTTER,BTS
GBSXS1800185,LOVE MADE ME DO IT,CHERYL
GBUM72100297,WELLERMAN,NATHAN EVANS/220KID/BILLEN TED
GBCEN1900048,RIDE IT,REGARD
GBAHS2201508,OH BABY,NATHAN DAWE/BRU-C/BSHP/CROSS
QZA742002508,TROLLZ,6IX9INE & NICKI MINAJ
GB3CE2200004,FERRARI,JAMES HYPE/MIGGY DELA ROSA
GB2DY2100828,OVERSEAS,D-BLOCK EUROPE FT CENTRAL CEE
GB0401000197,CHRISTMAS LIGHTS,COLDPLAY
DEUM71602306,ODE TO JOY,ANDRE RIEU & JOHANN STRAUSS OR
GB28K1820005,LIKE I DO,GUETTA/GARRIX/BROOKS
ZZOPM2117993,RETAIL THERAPY,CENTRAL CEE
GBUM72203432,FRESH OUT THE BANK,MEEKZ & DAVE
GBARL2202528,MARTIN'S SOFA,HEADIE ONE
GBUM71806264,FUNKY FRIDAY,DAVE FT FREDO
USUM72018810,MONSTER,SHAWN MENDES & JUSTIN BIEBER
USWV22127496,WE DON'T TALK ABOUT BRUNO,GAITAN/CASTILLO/ADASSA/FELIZ
USSM11807704,RUIN MY LIFE,ZARA LARSSON
GBARL2101139,LOVE (SWEET LOVE),LITTLE MIX
USUM72213725,THE 30TH,BILLIE EILISH
USWB12001096,TAP IN,SAWEETIE
USRC12201440,BAD HABIT,STEVE LACY
USUM71805992,BACK TO YOU,SELENA GOMEZ
USQX91902708,IF THE WORLD WAS ENDING,JP SAXE FT JULIA MICHAELS
QMCE32200233,SWEETEST PIE,MEGAN THEE STALLION & DUA LIPA
GBMA21850002,NASSTY,D-BLOCK EUROPE/ADZ/LIL PINO/LB
USUG12102313,LEAVE BEFORE YOU LOVE ME,MARSHMELLO/JONAS BROTHERS
USSM12104470,STAY,KID LAROI & JUSTIN BIEBER
GBAHS2101390,EVERYWHERE (BBC CHILDREN IN NEED),ANNE-MARIE & NIALL HORAN
USRC11903871,KNOW YOUR WORTH,KHALID & DISCLOSURE
GBARL2001197,LITTLE BIT OF LOVE,TOM GRENNAN
NGA3B2216004,RUSH,AYRA STARR
USUM72119916,ENEMY,IMAGINE DRAGONS/JID/LEAGUE OF
USSM19902989,THRILLER,MICHAEL JACKSON
USAT21811541,REWRITE THE STARS,JAMES ARTHUR & ANNE-MARIE
USUG11800211,CHANGES,XXXTENTACION
USAT22217320,SOMEDAY AT CHRISTMAS,LIZZO
USWD12112911,THE FAMILY MADRIGAL,STEPHANIE BEATRIZ/OLGA MEREDIZ
USUG12001281,TOOSIE SLIDE,DRAKE
USUM72102629,AS I AM,JUSTIN BIEBER FT KHALID
GBARL2000034,BIG CONSPIRACY,J HUS FT ICEE TGM
QM4TW2244096,ONE OF A KIND MUSIC PTS REGGAE & CALYPSO,RUSS MILLIONS/BUNI/YV
USWB11402616,BABY IT'S COLD OUTSIDE,IDINA MENZEL FT MICHAEL BUBLE
USUM72208963,N95,KENDRICK LAMAR
USRC11901901,HIGHER LOVE,KYGO & WHITNEY HOUSTON
KRA402200017,PINK VENOM,BLACKPINK
QMRSZ2000911,KILLA KILLA,KSI FT AIYANA-LEE
GB1301901247,PHYSICAL,DUA LIPA
USUM71917563,GRAVEYARD,HALSEY
GBAHS2000775,TICK TOCK,CLEAN BANDIT/MABEL/24KGOLDN
USSM12104018,ESCAPE PLAN,TRAVIS SCOTT
USWB11802236,MIA,BAD BUNNY FT DRAKE
GBAHS2000064,LONDON,M24 FT TION WAYNE
USRC12204598,NOBODY GETS ME,SZA
USAT22203495,DUA LIPA,JACK HARLOW
USUM71813192,SHALLOW,LADY GAGA & BRADLEY COOPER
GB1101702317,PANIC ROOM,AU/RA & CAMELPHAT
USUM72009644,STUCK WITH U,ARIANA GRANDE & JUSTIN BIEBER
GB2DY2201179,I'M BACK,FREDO
USSM11806658,STARGAZING,TRAVIS SCOTT
USUM71809132,EASTSIDE,BENNY BLANCO/HALSEY/KHALID
USAT22001369,P2,LIL UZI VERT
USUG12100342,LOVE STORY (TAYLOR'S VERSION),TAYLOR SWIFT
USUM72023175,ANYONE,JUSTIN BIEBER
GB1302101610,I WISH,JOEL CORRY FT MABEL
TCADI1763759,JUMANJI,B YOUNG
GBARL2001008,AIN'T IT DIFFERENT,HEADIE ONE/AJ TRACEY/STORMZY
NLM5S1900528,SUMMER DAYS,MARTIN GARRIX/MACKLEMORE/STUMP
USUM72020423,34+35,ARIANA GRANDE
GBHMU1800090,STRIP,LITTLE MIX FT SHARAYA J
USWB12201789,GLIMPSE OF US,JOJI
GBARL2101749,BMW,BAD BOY CHILLER CREW
USUM72116263,JAIL,KANYE WEST
USAT22203024,FIRST CLASS,JACK HARLOW
GBUM71900575,STREATHAM,DAVE
USUM72208020,COOPED UP,POST MALONE FT RODDY RICCH
USUM71912501,DON'T CALL ME ANGEL (CHARLIE'S ANGELS),GRANDE/CYRUS/LANA DEL REY
CAN132200297,OUT OF NOWHERE,BUGZY MALONE & TEEDEE
USUG11800208,SAD,XXXTENTACION
GBARL1601833,JUST YOU AND I,TOM WALKER
GB2DY2000409,M.E.N III,BUGZY MALONE
USUG11904206,BLINDING LIGHTS,WEEKND
GBAYE1900233,YOUR MRS,JAY1
USUG11901520,EASIER,5 SECONDS OF SUMMER
GB2DY2000658,NOTORIOUS,BUGZY MALONE FT CHIP
USSM12000998,HEARTBREAK ANNIVERSARY,GIVEON
USSM12300425,MOTHER,MEGHAN TRAINOR
GBAYE7400132,LAND OF HOPE AND GLORY,VERA LYNN
IEACJ2300020,EAT YOUR YOUNG,HOZIER
GBHMU2000056,HOLIDAY,LITTLE MIX
GBAHW0500175,STOP THE CAVALRY,JONA LEWIE
USUG12204890,MASSIVE,DRAKE
USRC11900110,WALK ME HOME,PINK
USWB12004855,BEST FRIEND,SAWEETIE FT DOJA CAT
USUM72118240,NO LOVE,SUMMER WALKER & SZA
GBARL1901243,FRENCH KISSES,ZIEZIE FT AITCH
GBUM71807392,PLAY,JAX JONES/YEARS & YEARS
USSM11806659,CAROUSEL,TRAVIS SCOTT
USUYG1414608,FREAKY DEAKY,TYGA & DOJA CAT
RUA012200233,STEFANIA,KALUSH
UKRNH1900048,47,WALA/MIST/BANGLEZ/STEFFLON
AUDCB1701966,DOWN UNDER,LUUDE FT COLIN HAY
DEE861600590,TRAIN WRECK,JAMES ARTHUR
GBUM71805350,CLOSE TO ME,ELLIE GOULDING/DIPLO/SWAE LEE
SE6XG2100104,DON'T SHUT ME DOWN,ABBA
USCM51800004,GOD'S PLAN,DRAKE
DEE862100256,RASPUTIN,MAJESTIC & BONEY M
GBAHS2000622,LIGHTER,NATHAN DAWE FT KSI
USUG12102076,TAKE MY BREATH,WEEKND
USSM11904276,HIGHEST IN THE ROOM,TRAVIS SCOTT
QZ45A1700126,A LOT,21 SAVAGE
UKEMY1800001,BUTTERFLIES,AJ TRACEY & NOT3S
QZMEM2232831,ROMANTIC HOMICIDE,D4VD
USUM72112396,DEMEANOR,POP SMOKE FT DUA LIPA
DEC691900342,FALLING LIKE THE STARS,JAMES ARTHUR
USUG12202231,FLOWERS,LAUREN SPENCER-SMITH
GBAHS2100041,MAREA (WE'VE LOST DANCING),FRED AGAIN & BLESSED MADONNA
USUM71116290,MISTLETOE,JUSTIN BIEBER
USAT22219206,JUST WANNA ROCK,LIL UZI VERT
GB2DY2200675,ELEGANT & GANG,D-BLOCK EUROPE/GHOST KILLER
GBCEL2200512,THERE'D BETTER BE A MIRRORBALL,ARCTIC MONKEYS
GBUM72103840,CLASH,DAVE FT STORMZY
USAT22211992,MISS YOU,OLIVER TREE & ROBIN SCHULZ
GBUM72301963,FLY GIRL,FLO FT MISSY ELLIOTT
USUM71814876,KILLSHOT,EMINEM
GBCEL1800165,ONE POINT PERSPECTIVE,ARCTIC MONKEYS
USSM12200047,BAM BAM,CAMILA CABELLO FT ED SHEERAN
GBAHS1701239,THESE DAYS,RUDIMENTAL/GLYNNE/MACKLEMORE
QZAKB2166405,B.O.T.A. (BADDEST OF THEM ALL),ELIZA ROSE/INTERPLANETARY
USUM71815958,WHEN THE PARTY'S OVER,BILLIE EILISH
GBAHS9904091,DRIVING HOME FOR CHRISTMAS,CHRIS REA
USQX91802130,THUNDERCLOUDS,LSD FT SIA/DIPLO/LABRINTH
USWB12206229,LOST,LINKIN PARK
US23A1512503,SAD GIRLZ LUV MONEY,AMAARAE FT MOLIY
USUM71920463,FOLLOW GOD,KANYE WEST
USSM12100771,DUMB LOVE,MIMI WEBB
GBARL1801740,18HUNNA,HEADIE ONE FT DAVE
USUM71900111,7 RINGS,ARIANA GRANDE
GB1102001078,LASTING LOVER,SIGALA & JAMES ARTHUR
USZ4V2200009,DON'T FORGET MY LOVE,DIPLO & MIGUEL
USUG12104397,CHAMPAGNE POETRY,DRAKE
GBUM72106057,BETTER DAYS,NEIKED/MAE MULLER/POLO G
QM6N22266016,HOLD THIS,HSTIKKYTOKKY & J FADO
QMEU32209358,KU LO SA - A COLORS SHOW,OXLADE
USCA20200910,LET IT SNOW LET IT SNOW LET IT SNOW,DEAN MARTIN
GB1101800331,079ME,B YOUNG
GBAYE2101288,MY UNIVERSE,COLDPLAY & BTS
GBUM72001831,YOU'LL NEVER WALK ALONE,MICHAEL BALL/CAPTAIN TOM MOORE
GBUM72205415,UNHOLY,SAM SMITH & KIM PETRAS
CYA111800123,JACKIE CHAN,TIESTO/DZEKO/PREME/POST MALONE
USUG12101042,WANTS AND NEEDS,DRAKE FT LIL BABY
ITB002100112,ZITTI E BUONI,MANESKIN
USMC15746480,JINGLE BELL ROCK,BOBBY HELMS
GBUM71902039,MAD LOVE,MABEL
USQX92200693,BOYFRIEND,DOVE CAMERON
USUG11800209,MOONLIGHT,XXXTENTACION
QM6MZ1994246,OT BOP,NSG
UKPGJ1800016,WELLERMAN,LONGEST JOHNS
USUM71913350,MEMORIES,MAROON 5
GB5KW2103680,WHO YOU ARE,CRAIG DAVID & MNEK
USQX91802294,FALLING DOWN,LIL PEEP & XXXTENTACION
GBUM71801455,IF YOU'RE OVER ME,YEARS & YEARS
USUG12001567,BE KIND,MARSHMELLO & HALSEY
USJI10800160,SURE THING,MIGUEL
GB1101500337,ATLANTIS,SEAFRET
CAN132200124,ENERGY,BUGZY MALONE & MIST
QZTGW2100275,THE COLOR VIOLET,TORY LANEZ
USSM12003798,SAVAGE LOVE (LAXED - SIREN BEAT),JAWSH 685 & JASON DERULO
GBAHS2201059,PSYCHO,ANNE-MARIE & AITCH
GBUM72004926,GET OUT MY HEAD,SHANE CODD
USQX91802455,3 NIGHTS,DOMINIC FIKE
USSM11806660,SICKO MODE,TRAVIS SCOTT
GBUM72204534,FIREBABE,STORMZY
GBCEN1800093,JUST GOT PAID,SIGALA/EYRE/TRAINOR FT MONTANA
GBAHS2100722,2STEP,ED SHEERAN
GBAHS2100144,WAY TOO LONG,NATHAN DAWE/ANNE-MARIE/MOSTACK
UKS2R1900003,HOW IT IS,RODDY RICCH/CHIP/YXNG BANE
USUG12001408,CHICAGO FREESTYLE,DRAKE FT GIVEON
USUG11902960,HOT GIRL BUMMER,BLACKBEAR
KRA402000136,LOVESICK GIRLS,BLACKPINK
GBAYE1901251,ORPHANS,COLDPLAY
UKELY2000008,REACT,PUSSYCAT DOLLS
USUM72102132,TEST DRIVE,ARIANA GRANDE
USWB12200466,EVERGREEN (YOU DIDN'T DESERVE ME AT ALL),OMAR APOLLO
QZPY62100044,BAD DAY,JUSTUS BENNETTS
GBARL2200383,GLAD U CAME,LIILZ FT ZIEZIE
US39N2300829,ME & YOU,CENTRAL CEE
GBARL1801049,PROMISES,CALVIN HARRIS & SAM SMITH
GBUM72105299,BOYZ,JESY NELSON FT NICKI MINAJ
GBAHS2100673,OVERPASS GRAFFITI,ED SHEERAN
USCM51900312,OMERTA,DRAKE
UK8E21701401,LOST WITHOUT YOU,FREYA RIDINGS
QMCE32000145,SAVAGE,MEGAN THEE STALLION
GBAHT2000202,LEVITATING,DUA LIPA
GBUM71906661,TO DIE FOR,SAM SMITH
USUM72111566,MOTLEY CREW,POST MALONE
USAT21704617,A MILLION DREAMS,ZIV ZAIFMAN/JACKMAN/WILLIAMS
USUM71803183,IN MY BLOOD,SHAWN MENDES
USRC11900838,CARRY ON,KYGO & RITA ORA
UKW3Z2000118,THANK YOU BAKED POTATO,MATT LUCAS
GBUM71807386,DANCING WITH A STRANGER,SAM SMITH & NORMANI
GBAHS1700024,PERFECT,ED SHEERAN
USQX92202129,SUNROOF,NICKY YOURE & DAZY
USUM72001302,INTENTIONS,JUSTIN BIEBER FT QUAVO
GBARL1900428,LATE NIGHT FEELINGS,MARK RONSON FT LYKKE LI
SE5752002626,PLUGGED IN FREESTYLE,FUMEZ THE ENGINEER/A92/OFFICA
USRE12200285,THE FOUNDATIONS OF DECAY,MY CHEMICAL ROMANCE
USUG12002085,WISHING WELL,JUICE WRLD
USUM71921647,LOOK AT HER NOW,SELENA GOMEZ
GBKPL1959035,F**K I'M LONELY,LAUV & ANNE-MARIE
GBCEL1800164,STAR TREATMENT,ARCTIC MONKEYS
USRC11902256,SLIDE AWAY,MILEY CYRUS
USRC12101540,AIN'T S**T,DOJA CAT
GB2DY1900468,PLAYING FOR KEEPS,D-BLOCK EUROPE FT DAVE
USAT21903320,THE LONDON,YOUNG THUG/J COLE/TRAVIS SCOTT
USUG12204889,STICKY,DRAKE
USWB12201574,IN THE STARS,BENSON BOONE
USUG12104399,GIRLS WANT GIRLS,DRAKE FT LIL BABY
GBARL2200007,ANYONE FOR YOU,GEORGE EZRA
ZA34K2000415,LOVE NWANTITI (AH AH AH),CKAY
AUUM72200187,HOW DO I SAY GOODBYE,DEAN LEWIS
GBARL1901043,THE LAST TIME,SCRIPT
ZZOPM2004175,COMMITMENT ISSUES,CENTRAL CEE
GB2DY2100372,MEANT TO BE,LIZZY/FREDO/CENTRAL CEE
GB1101801764,BMT,FREDO
USSM12100389,CALLING MY PHONE,LIL TJAY & 6LACK
GBARL2200252,REMIND ME,TOM GRENNAN
QMFME2147580,NIRVANA,SKEPTA FT J BALVIN
GBAHT2200010,EVERYTHING'S ELECTRIC,LIAM GALLAGHER
GBUM71905293,TELL ME,KREPT & KONAN/D-BLOCK/HUSSLE
QMRSZ2100345,NO TIME,KSI FT LIL DURK
USSM12005972,SO DONE,KID LAROI
USRC12101120,NEED TO KNOW,DOJA CAT
GBAHT2000204,HALLUCINATE,DUA LIPA
GBAHS2201155,LIONHEART (FEARLESS),JOEL CORRY & TOM GRENNAN
GB1102000564,PARASITE EVE,BRING ME THE HORIZON
DEUV72300302,WISH YOU THE BEST,LEWIS CAPALDI
QZXDB2300005,DAYLIGHT,DAVID KUSHNER
GB1101801908,GIANT,CALVIN HARRIS & RAG'N'BONE MAN
USQX91901112,I THINK,TYLER THE CREATOR
QZ85M1940160,RANSOM,LIL TECCA
ISV442020901,THINK ABOUT THINGS,DADI FREYR
USUM72013630,MOOD SWINGS,POP SMOKE FT LIL TJAY
GBARK8700046,BAT OUT OF HELL,MEAT LOAF
GBUM72104336,VERDANSK,DAVE
GBARL2100655,TALK OF THE TOWN,FREDO
USRC11903455,SAY SO,DOJA CAT
USRC12003234,OUTTA TIME,BRYSON TILLER FT DRAKE
USUG12101240,DEJA VU,OLIVIA RODRIGO
USUM71922577,EVERYTHING I WANTED,BILLIE EILISH
USUM71807681,ALL MINE,KANYE WEST
USAT22102237,LATE AT NIGHT,RODDY RICCH
GBUM71805626,GUIDING LIGHT,MUMFORD & SONS
USUMV2103323,STATE OF GRACE (TAYLOR'S VERSION),TAYLOR SWIFT
GB1101900928,TASTE (MAKE IT SHAKE),AITCH
GBK3W1800797,LOVE IT IF WE MADE IT,1975
USWD11995182,ALL I WANT,OLIVIA RODRIGO
USSM12004501,POPSTAR,DJ KHALED FT DRAKE
UK4ZF2100070,BED,JOEL CORRY/RAYE/DAVID GUETTA
GB2DY2100678,2K17,DIGGA D
GB2DY2100026,BLUUWUU,DIGGA D
USUM71710836,PSYCHO,POST MALONE FT TY DOLLA SIGN
GB1102100004,BACK TO BASICS,FREDO
USUG12102831,BETTER DAYS,DERMOT KENNEDY
USUV72100822,HOLD ON,JUSTIN BIEBER
GB1102101281,FLOWERS AND THE SNOW,FREDO
GBARL2101140,NO,LITTLE MIX
GBAKW7301006,MERRY XMAS EVERYBODY,SLADE
USUM71813345,VENOM,EMINEM
GBMA21880590,BROKEN HOMES,PLUG/NAFE SMALLZ/M HUNCHO
USSM12200609,MUSIC FOR A SUSHI RESTAURANT,HARRY STYLES
USUMV2001112,PAIN 1993,DRAKE FT PLAYBOI CARTI
GBAHS1900673,I DON'T CARE,ED SHEERAN & JUSTIN BIEBER
USUM71813349,LUCKY YOU,EMINEM FT JOYNER LUCAS
FRX202008600,SUMMER 91 (LOOKING BACK),NOIZU
GBK3W2302568,GLUE SONG,BEABADOOBEE
GBAHS2000776,COME OVER,RUDIMENTAL/ANNE-MARIE/TION
GBAHS2200049,KNOCK KNOCK,TION WAYNE & M24
TCAEW2040509,GOOSEBUMPS,TRAVIS SCOTT & HVME
GBARL2001511,ALL YOU EVER WANTED,RAG'N'BONE MAN
USUM71901873,NEVER REALLY OVER,KATY PERRY
TCADL1840525,THIS CITY,SAM FISCHER
GB28K1800015,FLAMES,DAVID GUETTA FT SIA
USAT22006865,FLY AWAY,TONES & I
USUM71900767,WISH YOU WERE GAY,BILLIE EILISH
USUG11901474,THE MAN,TAYLOR SWIFT
GBCEN2200051,STAY THE NIGHT,SIGALA & TALIA MAR
USUG11902591,BOYFRIEND,ARIANA GRANDE & SOCIAL HOUSE
USUG11800560,CALL OUT MY NAME,WEEKND
USRC12201442,VEGAS,DOJA CAT
GBAMB9500053,STEP INTO CHRISTMAS,ELTON JOHN
USSM12004502,GREECE,DJ KHALED FT DRAKE
USUG11800685,LUCID DREAMS,JUICE WRLD
USUG12001748,LAUGH NOW CRY LATER,DRAKE FT LIL DURK
GBAHT1901214,SAVAGE,MIST
USAT22221613,RUMBLE,SKRILLEX/FRED AGAIN/FLOWDAN
QMRSZ2100340,GANG GANG,KSI FT JAY1 & DENO
USH5V2224443,ALONE,BURNA BOY
USCA24600066,THE CHRISTMAS SONG,NAT KING COLE
GB2DY2300114,ENERGY,DIGGA D
USUG12300560,PRINCESS DIANA,ICE SPICE
GBUM72204538,HIDE & SEEK,STORMZY
USAT22105952,SMOKIN OUT THE WINDOW,SILK SONIC/BRUNO MARS/PAAK
USUG12103651,UNTIL I FOUND YOU,STEPHEN SANCHEZ
USUM71922072,JERRY SPRUNGER,TORY LANEZ & T-PAIN
USRC11802726,SUMMERTIME MAGIC,CHILDISH GAMBINO
USAT21704616,THE GREATEST SHOW,JACKMAN/SETTLE/EFRON/ZENDAYA
USSM12105973,OH MY GOD,ADELE
USUG12301601,SEARCH & RESCUE,DRAKE
QMRSZ2000871,HOUDINI,KSI FT SWARMZ & TION WAYNE
USAT22001354,BABY PLUTO,LIL UZI VERT
GBAHS1800321,GIRLS,RITA ORA/CARDI B/REXHA/CHARLI
QMRSZ1902347,DOWN LIKE THAT,KSI/RICK ROSS/LIL BABY/S-X
GBUM72200432,WAR,ARRDEE & AITCH
QMCE32100237,SOLID,YOUNG THUG/GUNNA/DRAKE
GBUM72100294,LATEST TRENDS,A1 & J1
USHM91642610,NEVERMIND,DENNIS LLOYD
GBAHT1900097,SWAN SONG,DUA LIPA
GBAHT1900624,SO HIGH,MIST FT FREDO
USAR18400008,GHOSTBUSTERS,RAY PARKER JR
GBAYE2101323,LET SOMEBODY GO,COLDPLAY & SELENA GOMEZ
GBUM72204076,HELLO MATE,ARRDEE FT KYLA
USUM72021500,THEREFORE I AM,BILLIE EILISH
GBUM72105353,COLD HEART,ELTON JOHN & DUA LIPA
USUM71907487,NIGHTMARE,HALSEY
QZD5H2000385,MISERABLE MAN,DAVID KUSHNER
GB1302100441,BODY,TION WAYNE & RUSS MILLIONS
USQX91803661,WHO DO YOU LOVE,CHAINSMOKERS FT 5 SECONDS OF
USQX91801533,THUNDERCLOUDS,LSD FT SIA/DIPLO/LABRINTH
USUG12205736,ANTI-HERO,TAYLOR SWIFT
GBUM71500527,RUNAWAY,AURORA
